Time: 1574288097, Messages: 0, Members Joined: 0
Time: 1574288102, Messages: 4, Members Joined: 0
Time: 1574288107, Messages: 0, Members Joined: 0
Time: 1574288112, Messages: 0, Members Joined: 0
Time: 1574288117, Messages: 0, Members Joined: 0
Time: 1574288122, Messages: 0, Members Joined: 0
Time: 1574288127, Messages: 0, Members Joined: 0
Time: 1574288132, Messages: 0, Members Joined: 0
Time: 1574288137, Messages: 0, Members Joined: 0
Time: 1574288142, Messages: 0, Members Joined: 0
Time: 1574288147, Messages: 0, Members Joined: 0
Time: 1574288152, Messages: 0, Members Joined: 0
Time: 1574288157, Messages: 0, Members Joined: 0
Time: 1574288162, Messages: 0, Members Joined: 0
Time: 1574288167, Messages: 0, Members Joined: 0
Time: 1574288172, Messages: 0, Members Joined: 0
Time: 1574288177, Messages: 0, Members Joined: 0
Time: 1574288182, Messages: 0, Members Joined: 0
Time: 1574288190, Messages: 1, Members Joined: 0
Time: 1574288195, Messages: 3, Members Joined: 0
Time: 1574288200, Messages: 1, Members Joined: 0
Time: 1574288205, Messages: 0, Members Joined: 0
Time: 1574288210, Messages: 0, Members Joined: 0
Time: 1574288215, Messages: 0, Members Joined: 0
Time: 1574288220, Messages: 0, Members Joined: 0
Time: 1574288228, Messages: 0, Members Joined: 0
Time: 1574288233, Messages: 1, Members Joined: 0
Time: 1574288238, Messages: 0, Members Joined: 0
Time: 1574288243, Messages: 0, Members Joined: 0
Time: 1574288248, Messages: 0, Members Joined: 0
Time: 1574288254, Messages: 0, Members Joined: 0
Time: 1574288259, Messages: 1, Members Joined: 0
Time: 1574288264, Messages: 0, Members Joined: 0
Time: 1574288269, Messages: 0, Members Joined: 0
Time: 1574288274, Messages: 0, Members Joined: 0
Time: 1574288279, Messages: 0, Members Joined: 0
Time: 1574288284, Messages: 0, Members Joined: 0
Time: 1574288289, Messages: 0, Members Joined: 0
Time: 1574288294, Messages: 0, Members Joined: 0
Time: 1574288299, Messages: 0, Members Joined: 0
Time: 1574288304, Messages: 0, Members Joined: 0
Time: 1574288309, Messages: 0, Members Joined: 0
Time: 1574288314, Messages: 0, Members Joined: 0
Time: 1574288319, Messages: 0, Members Joined: 0
Time: 1574288324, Messages: 0, Members Joined: 0
Time: 1574288329, Messages: 0, Members Joined: 0
Time: 1574288334, Messages: 0, Members Joined: 0
Time: 1574288339, Messages: 0, Members Joined: 0
Time: 1574288344, Messages: 0, Members Joined: 0
Time: 1574288349, Messages: 0, Members Joined: 0
Time: 1574288354, Messages: 0, Members Joined: 0
Time: 1574288361, Messages: 0, Members Joined: 0
Time: 1574288366, Messages: 0, Members Joined: 0
Time: 1574288371, Messages: 3, Members Joined: 0
Time: 1574288376, Messages: 0, Members Joined: 0
Time: 1574288381, Messages: 0, Members Joined: 0
Time: 1574288386, Messages: 0, Members Joined: 0
Time: 1574288391, Messages: 0, Members Joined: 0
Time: 1574288396, Messages: 0, Members Joined: 0
Time: 1574288401, Messages: 0, Members Joined: 0
Time: 1574288406, Messages: 0, Members Joined: 0
Time: 1574288411, Messages: 0, Members Joined: 0
Time: 1574288416, Messages: 0, Members Joined: 0
Time: 1574288421, Messages: 0, Members Joined: 0
Time: 1574288426, Messages: 0, Members Joined: 0
Time: 1574288432, Messages: 0, Members Joined: 0
Time: 1574288437, Messages: 0, Members Joined: 0
Time: 1574288448, Messages: 2, Members Joined: 0
Time: 1574288453, Messages: 1, Members Joined: 0
Time: 1574288458, Messages: 0, Members Joined: 0
Time: 1574291060, Messages: 0, Members Joined: 0
Time: 1574291065, Messages: 0, Members Joined: 0
Time: 1574291070, Messages: 3, Members Joined: 0
Time: 1574291075, Messages: 4, Members Joined: 0
Time: 1574291080, Messages: 0, Members Joined: 0
Time: 1574291085, Messages: 1, Members Joined: 0
Time: 1574291090, Messages: 1, Members Joined: 0
Time: 1574291095, Messages: 0, Members Joined: 0
Time: 1574291100, Messages: 0, Members Joined: 0
Time: 1574291105, Messages: 1, Members Joined: 0
Time: 1574291110, Messages: 0, Members Joined: 0
Time: 1574291115, Messages: 0, Members Joined: 0
Time: 1574291120, Messages: 2, Members Joined: 0
Time: 1574291130, Messages: 0, Members Joined: 0
Time: 1574291135, Messages: 2, Members Joined: 0
Time: 1574291140, Messages: 0, Members Joined: 0
Time: 1574291145, Messages: 0, Members Joined: 0
Time: 1574291150, Messages: 0, Members Joined: 0
Time: 1574291155, Messages: 0, Members Joined: 0
Time: 1574291160, Messages: 0, Members Joined: 0
Time: 1574291175, Messages: 0, Members Joined: 0
Time: 1574291180, Messages: 0, Members Joined: 0
Time: 1574291185, Messages: 0, Members Joined: 0
Time: 1574291195, Messages: 0, Members Joined: 0
Time: 1574291200, Messages: 0, Members Joined: 0
Time: 1574291205, Messages: 2, Members Joined: 0
Time: 1574291210, Messages: 2, Members Joined: 0
Time: 1574291218, Messages: 0, Members Joined: 0
Time: 1574291223, Messages: 1, Members Joined: 0
Time: 1574291228, Messages: 0, Members Joined: 0
Time: 1574291233, Messages: 2, Members Joined: 0
Time: 1574291358, Messages: 0, Members Joined: 0
Time: 1574291363, Messages: 2, Members Joined: 0
Time: 1574291368, Messages: 2, Members Joined: 0
Time: 1574291374, Messages: 2, Members Joined: 0
Time: 1574291379, Messages: 0, Members Joined: 0
Time: 1574291384, Messages: 0, Members Joined: 0
Time: 1574291389, Messages: 0, Members Joined: 0
Time: 1574291394, Messages: 0, Members Joined: 0
Time: 1574291399, Messages: 0, Members Joined: 0
Time: 1574291404, Messages: 0, Members Joined: 0
Time: 1574291409, Messages: 0, Members Joined: 0
Time: 1574291414, Messages: 0, Members Joined: 0
Time: 1574291419, Messages: 0, Members Joined: 0
Time: 1574303017, Messages: 0, Members Joined: 0
Time: 1574303022, Messages: 0, Members Joined: 0
Time: 1574303027, Messages: 2, Members Joined: 0
Time: 1574303032, Messages: 0, Members Joined: 0
Time: 1574303054, Messages: 0, Members Joined: 0
Time: 1574303059, Messages: 2, Members Joined: 0
Time: 1574303197, Messages: 0, Members Joined: 0
Time: 1574303202, Messages: 0, Members Joined: 0
Time: 1574303207, Messages: 2, Members Joined: 0
Time: 1574303212, Messages: 0, Members Joined: 0
Time: 1574303217, Messages: 0, Members Joined: 0
Time: 1574303222, Messages: 0, Members Joined: 0
Time: 1574303227, Messages: 2, Members Joined: 0
